source_xpath,target_xpath,comment
/xml/dataset/repositoryid,TechnicalInfo/StudyId/IDSchema,"Chaîne brute directe."
/xml/dataset/id,TechnicalInfo/StudyId/Identifier,"Chaîne brute directe."
/xml/dataset/metadata/additional/status,TechnicalInfo/Status,"Chaîne brute directe."
/xml/dataset/metadata/additional/versionLang,TechnicalInfo/VersionLang,"Chaîne brute directe."
/xml/dataset/metadata/additional/originLang,TechnicalInfo/OriginLang,"Chaîne brute directe."
/xml/dataset/created,TechnicalInfo/CreationDate,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/lastUpdatedAuto,TechnicalInfo/LastUpdatedAuto,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/lastUpdatedManual,TechnicalInfo/LastUpdatedManual,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/autoTranslation,TechnicalInfo/AutoTranslation,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/doc_desc/producers/producer/name,TechnicalInfo/MetadataContributor/ContributorName,"Confirmé par le collègue -- 96.8% des fichiers ont un vrai nom ici, le défaut 'Inconnu' de builder.py ne reste que pour les cas réellement vides."
/xml/dataset/metadata/doc_desc/producers/producer/affiliation,TechnicalInfo/MetadataContributor/ContributorAffiliation,"Idem ContributorName -- 96.2% des fichiers ont une vraie valeur."
/xml/dataset/title,StudyRelatedInfo/StudyOverview/Title,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/title_statement/alternate_title,StudyRelatedInfo/StudyOverview/Acronym,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/method/study_class,StudyRelatedInfo/StudyOverview/StudyStatus,"Statut de l'étude"
/xml/dataset/metadata/study_desc/study_info/purpose,StudyRelatedInfo/StudyOverview/Purpose,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/study_info/abstract,StudyRelatedInfo/StudyOverview/Summary,"Chaîne brute directe."

/xml/dataset/metadata/study_desc/study_info/keywords/keyword/keyword,StudyRelatedInfo/StudyOverview/Keyword,"TABLEAU : Liste simple plate."

/xml/dataset/metadata/additional/isHealthTheme,StudyRelatedInfo/Theme/IsHealthTheme,"Chaîne booléenne (0/1)."

/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='health determinant']/topic,StudyRelatedInfo/Theme/HealthDeterminant,"TABLEAU : FILTRE CONDITIONNEL."

/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other health theme']/topic,StudyRelatedInfo/Theme/OtherHealthTheme,"Autre spécialité médicale, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other determinant']/topic,StudyRelatedInfo/Theme/OtherDeterminant,"Autres déterminants, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other socio demographic determinant']/topic,StudyRelatedInfo/Theme/OtherSocioDemoDeterminant,"Autres déterminants socio-démographiques et économiques, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other environmental determinant']/topic,StudyRelatedInfo/Theme/OtherEnvironmentalDeterminant,"Autres déterminants environnementaux, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other healthcare determinant']/topic,StudyRelatedInfo/Theme/OtherHealthcareSystemDeterminant,"Autres déterminants liés au système de santé, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other behavioural determinant']/topic,StudyRelatedInfo/Theme/OtherBehavioralDeterminant,"Autres déterminants comportementaux, précisions"
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='other biological determinant']/topic,StudyRelatedInfo/Theme/OtherBiologicalDeterminant,"Autres déterminants biologiques, précisions"

ROOT:/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='health theme'],StudyRelatedInfo/Theme/HealthTheme,"Boucle Thèmes de santé"
./topic,StudyRelatedInfo/Theme/HealthTheme/value,"Nom Thème de santé"
./extLink/extlink/uri,StudyRelatedInfo/Theme/HealthTheme/URI,"URI Thème de santé"

ROOT:/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='cim-11'],StudyRelatedInfo/Theme/Pathology,"Boucle Pathologies"
./topic,StudyRelatedInfo/Theme/Pathology/value,"Nom Pathologie"
./extLink/extlink/uri,StudyRelatedInfo/Theme/Pathology/URI,"URI Pathologie"

/xml/dataset/metadata/additional/theme/RareDiseases,StudyRelatedInfo/Theme/RareDiseases,"Champ booléen brut 0/1 -- l'ancien mapping utilisait additional/rareDiseases/values (doublon texte Oui/Non ou Yes/No), sensible à la langue et non fiable."
/xml/dataset/metadata/additional/universe/level_type_clusion_I,StudyRelatedInfo/Population/PopulationType,"Chaîne brute directe."

ROOT:/xml/dataset/metadata/additional/universe/sexe/item,StudyRelatedInfo/Population/DemographicInfo/Sex,"Boucle Sexe"
./text(),StudyRelatedInfo/Population/DemographicInfo/Sex/value,"Valeur du sexe"

ROOT:/xml/dataset/metadata/additional/universe/level_age_clusion_I/level_age_clusion_i,StudyRelatedInfo/Population/DemographicInfo/Age,"Boucle Age"
./text(),StudyRelatedInfo/Population/DemographicInfo/Age/value,"Valeur de l'age"

/xml/dataset/metadata/additional/universe/clusion_I,StudyRelatedInfo/Population/OtherClusion/InclusionCriterion,"Chaîne brute directe."
/xml/dataset/metadata/additional/universe/clusion_E,StudyRelatedInfo/Population/OtherClusion/ExclusionCriterion,"Chaîne brute directe."

ROOT:/xml/dataset/metadata/study_desc/study_info/nation/item,StudyRelatedInfo/Population/GeographicalCoverage/Nation,"Boucle Nation corrigée"
./name,StudyRelatedInfo/Population/GeographicalCoverage/Nation/value,"Valeur de la nation"
./extLink/vocabURI,StudyRelatedInfo/Population/GeographicalCoverage/Nation/URI,"URI de la nation (ISO)"

/xml/dataset/metadata/additional/geogCoverage/values/value,StudyRelatedInfo/Population/GeographicalCoverage/FranceRegion,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/geographicalCoverage/geoDetail,StudyRelatedInfo/Population/GeographicalCoverage/GeoDetail,"Chaîne brute directe."

/xml/dataset/metadata/study_desc/study_authorization/agency/item/name,AdministrativeInformation/RegulatoryRequirements/AgencyRaw,"Agences brutes"
/xml/dataset/metadata/additional/obtainedAuthorization/otherAuthorizingAgency/otherauthorizingagency,AdministrativeInformation/RegulatoryRequirements/OtherAgencyRaw,"Précisions agences brutes"
/xml/dataset/metadata/additional/isContributorPI,AdministrativeInformation/IsContributorPI,"Chaîne booléenne (0/1)."

ROOT:/xml/dataset/metadata/study_desc/authoring_entity/item,AdministrativeInformation/PrimaryInvestigator,"--- DEBUT BOUCLE INVESTIGATEURS ---"
./name,AdministrativeInformation/PrimaryInvestigator/PIName,"Nom PI"
./email,AdministrativeInformation/PrimaryInvestigator/PIMail,"Mail PI"
./extlink/item[title='ORCID']/uri,AdministrativeInformation/PrimaryInvestigator/PIORCID,"ORCID"
./extlink/item[title='IdRef']/uri,AdministrativeInformation/PrimaryInvestigator/PIIdRef,"IdRef"
./affiliationName,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationName,"Nom orga PI"
./PILabo,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/PILabo,"Nom Labo"
./extlink/item[title='RNSR']/uri,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/PILaboId,"URI Labo RNSR"
./isContact,AdministrativeInformation/PrimaryInvestigator/IsPIContact,"PI est contact ?"
ARRAY:./extlink/item[role='organisation id'],AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationPID,"--- SOUS-BOUCLE PIDS ---"
./title,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationPID/PIDSchema,"Schema PID"
./uri,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationPID/URI,"URI du PID"

/xml/dataset/metadata/additional/addTeamMember,AdministrativeInformation/AddTeamMember,"Chaîne booléenne (0/1)."

ROOT:/xml/dataset/metadata/study_desc/oth_id/item[type='contributor'],AdministrativeInformation/TeamMember,"--- DEBUT BOUCLE MEMBRES DE L'EQUIPE (oth_id: item[contributor] suivi de son item[affiliation]) ---"
./name,AdministrativeInformation/TeamMember/TeamMemberName,"Nom membre équipe"
./extlink/item[title='ORCID']/uri,AdministrativeInformation/TeamMember/TeamMemberORCID,"ORCID membre équipe"
./extlink/item[title='IdRef']/uri,AdministrativeInformation/TeamMember/TeamMemberIdRef,"IdRef membre équipe"
./following-sibling::item[1]/name,AdministrativeInformation/TeamMember/TeamMemberAffiliation/OrganisationName,"Nom orga membre équipe (item[affiliation] suivant)"
./following-sibling::item[1]/teamMemberLabo,AdministrativeInformation/TeamMember/TeamMemberAffiliation/TeamMemberLabo,"Nom Labo membre équipe"
./following-sibling::item[1]/extlink/item[title='RNSR']/uri,AdministrativeInformation/TeamMember/TeamMemberAffiliation/TeamMemberLaboId,"URI Labo RNSR membre équipe"
./isContact,AdministrativeInformation/TeamMember/IsTeamMemberContact,"Membre équipe est contact ?"
ARRAY:./following-sibling::item[1]/extlink/item[role='organisation id'],AdministrativeInformation/TeamMember/TeamMemberAffiliation/OrganisationPID,"--- SOUS-BOUCLE PIDS ---"
./title,AdministrativeInformation/TeamMember/TeamMemberAffiliation/OrganisationPID/PIDSchema,"Schema PID"
./uri,AdministrativeInformation/TeamMember/TeamMemberAffiliation/OrganisationPID/URI,"URI du PID"

ROOT:/xml/dataset/metadata/study_desc/distribution_statement/contact/item,AdministrativeInformation/ContactPoint,"--- DEBUT BOUCLE CONTACTS ---"
./name,AdministrativeInformation/ContactPoint/ContactName,"Nom Contact"
./email,AdministrativeInformation/ContactPoint/EMail,"Mail Contact"
./affiliationName,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationName,"Nom Orga Contact"
./contactPointLabo,AdministrativeInformation/ContactPoint/ContactPointAffiliation/ContactPointLabo,"Nom Labo Contact"
./extlink/item[title='RNSR']/uri,AdministrativeInformation/ContactPoint/ContactPointAffiliation/ContactPointLaboId,"URI Labo RNSR Contact"
ARRAY:./extlink/item[role='organisation id'],AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationPID,"--- SOUS-BOUCLE PIDS ---"
./title,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationPID/PIDSchema,"Schema PID"
./uri,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationPID/URI,"URI du PID"

ROOT:/xml/dataset/metadata/study_desc/production_statement/funding_agencies/funding_agency,AdministrativeInformation/FundingAgent,"--- DEBUT BOUCLE FINANCEURS ---"
./name,AdministrativeInformation/FundingAgent/FundingAgentName,"Nom Funder"
ARRAY:./extlink/item,AdministrativeInformation/FundingAgent/FundingAgentPID,"--- SOUS-BOUCLE PIDS (pas de <role> ici, on prend tout) ---"
./title,AdministrativeInformation/FundingAgent/FundingAgentPID/PIDSchema,"Schema PID"
./uri,AdministrativeInformation/FundingAgent/FundingAgentPID/URI,"URI PID"

/xml/dataset/metadata/additional/fundingAgent/fundingAgentType/fundingagenttype,AdministrativeInformation/FundingAgentTypeRaw,"Types Financeur - liste PARALLELE à FundingAgent, appariée par position dans builder.py (chemin séparé dans le XML source, pas nichée sous funding_agency)"

ROOT:/xml/dataset/metadata/study_desc/production_statement/producers/producer,AdministrativeInformation/OrganisationGovernance/Sponsor,"--- DEBUT BOUCLE PROMOTEURS ---"
./name,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorName,"Nom Sponsor"
ARRAY:./extlink/item[role='sponsor id'],AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorPID,"--- SOUS-BOUCLE PIDS (role='sponsor id', pas 'organisation id') ---"
./title,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorPID/PIDSchema,"Schema PID"
./uri,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorPID/URI,"URI PID"

